id	question	imageurl	correct	answer1	answer2	answer3	answer4	type
11	“Người tham gia giao thông đường bộ” gồm những đối tượng nào?		3	Người điều khiển, người sử dụng phương tiện tham gia giao thông đường bộ.	Người điều khiển, dẫn dắt súc vật; người đi bộ trên đường bộ.	Cả ý 1 và ý 2.		0
12	“Người điều khiển phương tiện tham gia giao thông đường bộ” gồm những đối tượng nào dưới đây?		3	Người điều khiển xe cơ giới, người điều khiển xe thô sơ.	Người điều khiển xe máy chuyên dùng tham gia giao thông đường bộ.	Cả ý 1 và ý 2		0
13	Khái niệm “người điều khiển giao thông” được hiểu như thế nào là đúng?		2	Là người điều khiển phương tiện tham gia giao thông tại nơi thi công, nơi ùn tắc giao thông, ở bến phà, tại cầu đường bộ đi chung với đường sắt.	Là cảnh sát giao thông, người được giao nhiệm vụ hướng dẫn giao thông tại nơi thi công, nơi ùn tắc giao thông, ở bến phà, tại cầu đường bộ đi chung với đường sắt.	Là người tham gia giao thông tại nơi thi công, nơi ùn tắc giao thông, ở bến phà, tại cầu đường bộ đi chung với đường sắt.		0
14	Trong các khái niệm dưới đây khái niệm “dừng xe” được hiểu như thế nào là đúng quy tắc giao thông?		2	Là trạng thái đứng yên của phương tiện giao thông không giới hạn thời gian để cho người lên, xuống phương tiện, xếp dỡ hàng hóa hoặc thực hiện công việc khác.	Là trạng thái đứng yên tạm thời của phương tiện giao thông trong một khoảng thời gian cần thiết đủ để cho người lên xuống phương tiện, xếp dỡ hàng hóa hoặc thực hiện công việc khác.	Là trạng thái đứng yên của phương tiện giao thông không giới hạn thời gian giữa 2 lần vận chuyển hàng hóa hoặc hành khách.		0
15	Khái niệm “đỗ xe” được hiểu như thế nào là đúng quy tắc giao thông?		2	Là trạng thái đứng yên của phương tiện giao thông có giới hạn trong một khoảng thời gian cần thiết đủ để cho người lên, xuống phương tiện đó, xếp dỡ hàng hóa hoặc thực hiện công việc khác	Là trạng thái đứng yên của phương tiện giao thông không giới hạn thời gian.			0
16	Khái niệm "đường cao tốc" được hiểu như thế nào là đúng		4	Đường dành riêng cho xe ô tô và một số loại xe chuyên dùng được phép đi vào theo quy định của Luật giao thông đường bộ.	Có giải phân cách phân chia đường cho xe chạy hai chiều riêng biệt mà giải phân cách này xe không đi được lên trên; không giao nhau cùng mức với một hoặc một số đường khác.	Được bố trí đầy đủ trang thiết bị phục vụ, bảo đảm giao thông liên tục, an toàn, rút ngắn thời gian hành trình và chỉ cho xe ra, vào ở những điểm nhất định.	Tất cả các ý trên.	0
17	Hành vi nào dưới đây bị nghiêm cấm?		3	Đỗ xe trên đường phố.	Sử dụng xe đạp đi trên các tuyến quốc lộ có tốc độ cao.	Làm hỏng (cố ý) cọc tiêu, gương cầu, dải phân cách.	Sử dụng còi và quay đầu xe trong khu dân cư.	1
18	Hành vi đưa xe cơ giới, xe máy chuyên dùng không đảm bảo tiêu chuẩn an toàn kỹ thuật và bảo vệ môi trường vào tham gia giao thông đường bộ có bị nghiêm cấm hay không?		2	Không bị nghiêm cấm.	Bị nghiêm cấm.	Bị nghiêm cấm tùy theo các tuyến đường.	Bị nghiêm cấm tùy theo loại xe.	1
19	Cuộc đua xe chỉ được thực hiện khi nào?		3	Diễn ra trên đường phố không có người qua lại.	Được người dân ủng hộ.	Được cơ quan có thẩm quyền cấp phép.		1
20	Người điều khiển phương tiện giao thông đường bộ mà trong cơ thể có chất ma túy có bị nghiêm cấm hay không?		1	Bị nghiêm cấm.	Không bị nghiêm cấm.	Không bị nghiêm cấm, nếu có chất ma túy ở mức nhẹ, có thể điều khiển phương tiện tham gia giao thông.		1
21	Việc lái xe mô tô, ô tô, máy kéo ngay sau khi uống rượu, bia có được phép hay không?		1	Không được phép.	Chỉ được lái ở tốc độ chậm và quãng đường ngắn.	Chỉ được lái nếu trong cơ thể có nồng độ cồn thấp.		1
22	Người điều khiển xe mô tô, ô tô, máy kéo trên đường mà trong máu hoặc hơi thở có nồng độ cồn có bị nghiêm cấm không?		1	Bị nghiêm cấm.	Không bị nghiêm cấm.	Không bị nghiêm cấm, nếu nồng độ cồn trong máu ở mức nhẹ, có thể điều khiển phương tiện tham gia giao thông.		1
23	Sử dụng rượu bia khi lái xe, nếu bị phát hiện thì bị xử lý như thế nào?		2	Chỉ bị nhắc nhở.	Bị xử phạt hành chính hoặc có thể bị xử lý hình sự tùy theo mức độ vi phạm.	Không bị xử lý hình sự.		1
24	Theo Luật phòng chống tác hại của rượu, bia, đối tượng nào dưới đây bị cấm sử dụng rượu bia khi tham gia giao thông?		1	Người điều khiển: Xe ô tô, xe mô tô, xe đạp, xe gắn máy.	Người ngồi phía sau người điều khiển xe cơ giới.	Người đi bộ.	Cả ý 1 và ý 2.	1
25	Hành vi giao xe cơ giới, xe máy chuyên dùng cho người không đủ điều kiện để điều khiển xe tham gia giao thông có được phép hay không?		2	Chỉ được thực hiện nếu đã hướng dẫn đầy đủ.	Không được phép.	Được phép tùy từng trường hợp.	Chỉ được phép thực hiện với thành viên trong gia đình.	1
26	Hành vi điều khiển xe cơ giới chạy quá tốc độ quy định, giành đường, vượt ẩu có bị nghiêm cấm hay không?		3	Bị nghiêm cấm tùy từng trường hợp.	Không bị nghiêm cấm.	Bị nghiêm cấm.		1
27	Khi lái xe trên đường, người lái xe cần quan sát và bảo đảm tốc độ phương tiện như thế nào?		3	Chỉ lớn hơn tốc độ tối đa cho phép khi đường vắng.	Chỉ lớn hơn tốc độ tối đa cho phép vào ban đêm.	Không vượt quá tốc độ cho phép.		1
28	Phương tiện giao thông đường bộ di chuyển với tốc độ thấp hơn phải đi như thế nào?		2	Đi về phía bên trái.	Đi về phía bên phải.	Đi ở giữa.		1
29	Trên đường có nhiều làn đường, khi điều khiển phương tiện ở tốc độ chậm bạn phải đi ở làn đường nào?		1	Đi ở làn bên phải trong cùng.	Đi ở làn phía bên trái.	Đi ở làn giữa.	Đi ở bất cứ lần nào nhưng phải bấm đèn cảnh báo nguy hiểm để báo hiệu cho các phương tiện khác.	1
30	Hành vi vượt xe tại các vị trí có tầm nhìn hạn chế, đường vòng, đầu dốc có bị nghiêm cấm hay không?		3	Không bị nghiêm cấm.	Không bị nghiêm cấm khi rất vội.	Bị nghiêm cấm.	Không bị nghiêm cấm khi khẩn cấp.	1
31	Khi lái xe trong khu đô thị và đông dân cư trừ các khu vực có biển cấm sử dụng còi, người lái xe được sử dụng còi như thế nào trong các trường hợp dưới đây?		2	Từ 22 giờ đêm đến 5 giờ sáng.	Từ 5 giờ sáng đến 22 giờ tối.	Từ 23 giờ đêm đến 5 giờ sáng hôm sau.		0
32	Người lái xe sử dụng đèn như thế nào khi lái xe trong khu đô thị và đông dân cư vào ban đêm?		4	Bất cứ đèn nào miễn là mắt nhìn rõ phía trước.	Chỉ bật đèn chiếu xa (đèn pha) khi không nhìn rõ đường.	Đèn chiếu xa (đèn pha) khi đường vắng, đèn pha chiếu gần (đèn cốt) khi có xe đi ngược chiều.	Đèn chiếu gần (đèn cốt).	0
33	Hành vi lắp đặt, sử dụng còi, đèn không đúng thiết kế của nhà sản xuất đối với từng loại xe cơ giới có được phép hay không?		2	Được phép.	Không được phép.	Được phép tùy từng trường hợp.		1
34	Trong trường hợp đặc biệt, để được lắp đặt, sử dụng còi, đèn không đúng với thiết kế của nhà sản xuất đối với từng loại xe cơ giới bạn phải đảm bảo yêu cầu nào dưới đây?		2	Phải đảm bảo phụ tùng do đúng nhà sản xuất đó cung cấp.	Phải được chấp thuận của cơ quan có thẩm quyền.	Phải là xe đăng ký và hoạt động tại các khu vực có địa hình phức tạp.		0
35	Việc sản xuất, mua bán, sử dụng biển số xe cơ giới, xe máy chuyên dùng được quy định như thế nào trong Luật Giao thông đường bộ?		3	Được phép sản xuất, sử dụng khi bị mất biển số.	Được phép mua bán, sử dụng khi bị mất biển số.	Nghiêm cấm sản xuất, mua bán, sử dụng trái phép.		1
36	Người lái xe không được vượt xe khác khi gặp trường hợp nào ghi ở dưới đây?		1	Trên cầu hẹp có một làn xe. Nơi đường giao nhau, đường bộ giao nhau cùng mức với đường sắt; xe được quyền ưu tiên đang phát tín hiệu ưu tiên đi làm nhiệm vụ.	Trên cầu có từ 02 làn xe trở lên; nơi đường bộ giao nhau không cùng mức với đường sắt; xe được quyền ưu tiên đang đi phía trước nhưng không phát tín hiệu ưu tiên.	Trên đường có 2 làn đường được phân chia làn bằng vạch kẻ nét đứt.		1
37	Ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, đường cao tốc, đường hẹp, đường dốc, tại nơi đường bộ giao nhau cùng mức với đường sắt có được quay đầu xe hay không?		2	Được phép.	Không được phép.	Tùy từng trường hợp.		1
38	Bạn đang lái xe phía trước có một xe cảnh sát giao thông không phát tín hiệu ưu tiên bạn có được phép vượt hay không?		4	Không được vượt.	Được vượt khi đang đi trên cầu.	Được phép vượt khi đi qua nơi giao nhau có ít phương tiện cùng tham gia giao thông.	Được vượt khi đảm bảo an toàn.	0
39	Bạn đang lái xe phía trước có một xe cứu thương đang phát tín hiệu ưu tiên bạn có được phép vượt hay không?		1	Không được vượt.	Được vượt khi đang đi trên cầu.	Được phép vượt khi đi qua nơi giao nhau có ít phương tiện cùng tham gia giao thông.	Được vượt khi đảm bảo an toàn.	0
40	Người lái xe không được quay đầu xe trong các trường hợp nào dưới đây?		1	Ở phần đường dành cho người đi bộ qua đường, trên cầu, đầu cầu, đường cao tốc, đường hẹp, đường dốc, tại nơi đường bộ	giao nhau cùng mức với đường sắt.	Ở phía trước hoặc phía sau của phần đường dành cho người đi bộ qua đường, trên đường quốc lộ, tại nơi đường bộ giao nhau không cùng mức với đường sắt.	Cả ý 1 và ý 2.	1
41	Bạn đang lái xe trong khu dân cư, có đông xe qua lại, nếu muốn quay đầu bạn cần làm gì để tránh ùn tắc và đảm bảo an toàn giao thông?		1	Đi tiếp đến điểm giao cắt gần nhất hoặc nơi có biển báo cho phép quay đầu xe.	Bấm đèn khẩn cấp và quay đầu xe từ từ bảo đảm an toàn.	Bấm còi liên tục khi quay đầu để cảnh báo các xe khác.	Nhờ một người ra hiệu giao thông trên đường chậm lại trước khi quay đầu.	0
42	Người lái xe không được lùi xe ở những khu vực nào dưới đây?		3	Ở khu vực cấm dừng và trên phần đường dành cho người đi bộ qua đường.	Nơi đường bộ giao nhau, đường bộ giao nhau cùng mức với đường sắt, nơi tầm nhìn bị che khuất, trong hầm đường bộ, đường cao tốc.	Cả ý 2 và ý 3.		0
43	Người điều khiển phương tiện giao thông trên đường phố có được dừng xe, đỗ xe trên miệng cống thoát nước, miệng hầm của đường điện thoại, điện cao thế, chỗ dành riêng cho xe chữa cháy lấy nước hay không?		2	Được dừng xe, đỗ xe trong trường hợp cần thiết.	Không được dừng xe, đỗ xe.	Được dừng xe, không được đỗ xe.		1
44	Khi xe đã kéo 1 xe hoặc xe đã kéo 1 rơ moóc, bạn có được phép kéo thêm xe (kể cả xe thô sơ) hoặc rơ moóc thứ hai hay không?		4	Chỉ được thực hiện trên quốc lộ có hai làn xe một chiều.	Chỉ được thực hiện trên cao tốc.	Không được thực hiện vào ban ngày.	Không được phép.	0
45	Người điều khiển xe mô tô hai bánh, ba bánh, xe gắn máy có được phép sử dụng xe để kéo hoặc đẩy các phương tiện khác khi tham gia giao thông không?		4	Được phép.	Nếu phương tiện được kéo, đẩy có khối lượng nhỏ hơn phương tiện của mình.	Tùy trường hợp.	Không được phép.	1
46	Khi điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy, những hành vi buông cả hai tay; sử dụng xe để kéo, đẩy xe khác, vật khác; sử dụng chân chống của xe quệt xuống đường khi xe đang chạy có được phép hay không?		3	Được phép.	Tuỳ trường hợp.	Không được phép.		1
47	Khi điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy, những hành vi nào không được phép?		1	Buông cả hai tay; sử dụng xe để kéo, đẩy xe khác, vật khác; sử dụng chân chống của xe quệt xuống đường khi xe đang chạy.	Buông một tay; sử dụng xe để chở người hoặc hàng hoá; để chân chạm xuống đất khi khởi hành.	Đội mũ bảo hiểm; chạy xe đúng tốc độ quy định và chấp hành đúng quy tắc giao thông đường bộ.	Chở người ngồi sau dưới 16 tuổi.	1
48	Người ngồi trên xe mô tô hai bánh, ba bánh, xe gắn máy khi tham gia giao thông có được mang, vác vật cồng kềnh hay không?		2	Được mang, vác tùy trường hợp cụ thể.	Không được mang, vác.	Được mang, vác nhưng phải đảm bảo an toàn.	Được mang, vác tùy theo sức khỏe của bản thân.	1
49	Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông có được bám, kéo hoặc đẩy các phương tiện khác không?		4	Được phép.	Được bám trong trường hợp phương tiện của mình bị hỏng.	Được kéo, đẩy trong trường hợp phương tiện khác bị hỏng.	Không được phép.	1
50	Người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông có được sử dụng ô khi trời mưa hay không?		3	Được sử dụng.	Chỉ người ngồi sau được sử dụng.	Không được sử dụng.	Được sử dụng nếu không có áo mưa.	1
51	Khi đang lên dốc người ngồi trên xe mô tô có được kéo theo người đang điều khiển xe đạp hay không?		2	Chỉ được phép nếu cả hai đội mũ bảo hiểm.	Không được phép.	Chỉ được thực hiện trên đường thật vắng.	Chỉ được phép khi người đi xe đạp đã quá mệt.	1
52	Hành vi sử dụng xe mô tô để kéo, đẩy xe mô tô khác bị hết xăng đến trạm mua xăng có được phép hay không?		3	Chỉ được kéo nếu đã nhìn thấy trạm xăng.	Chỉ được thực hiện trên đường vắng phương tiện cùng tham gia giao thông.	Không được phép.		1
53	Hành vi vận chuyển đồ vật cồng kềnh bằng xe mô tô, xe gắn máy khi tham gia giao thông có được phép hay không?		1	Không được vận chuyển.	Chỉ được vận chuyển khi đã chằng buộc cẩn thận.	Chỉ được vận chuyển vật cồng kềnh trên xe máy nếu khoảng cách về nhà ngắn hơn 2km.		1
54	Người đủ bao nhiêu tuổi trở lên thì được điều khiển xe ô tô tải, máy kéo có trọng tải từ 3,5 tấn trở lên; xe hạng B2 kéo rơ moóc (FB2)?		2	19 tuổi.	21 tuổi.	20 tuổi.		0
55	Người đủ bao nhiêu tuổi trở lên thì được điều khiển xe mô tô hai bánh, xe mô tô ba bánh có dung tích xi lanh từ 50 cm3 trở lên và các loại xe có kết cấu tương tự; xe ô tô tải, máy kéo có trọng tải dưới 3,5 tấn; xe ô tô chở người đến 9 chỗ ngồi?		2	16 tuổi.	18 tuổi.	17 tuổi.		0
56	Người lái xe ô tô chở người trên 30 chỗ ngồi (hạng E), lái xe hạng D kéo rơ moóc (FD) phải đủ bao nhiêu tuổi trở lên?		3	23 tuổi.	24 tuổi.	27 tuổi.	30 tuổi.	0
57	Tuổi tối đa của người lái xe ô tô chở người trên 30 chỗ ngồi (hạng E) là bao nhiêu tuổi?		1	55 tuổi đối với nam và 50 tuổi đối với nữ.	55 tuổi đối với nam và nữ.	60 tuổi đối với nam và 55 tuổi đối với nữ.	45 tuổi với nam và 40 tuổi với nữ.	0
58	Người lái xe chở người từ 10 đến 30 chỗ ngồi (hạng D), lái xe hạng C kéo rơ moóc (FC) phải đủ bao nhiêu tuổi trở lên?		2	23 tuổi	24 tuổi.	22 tuổi.	18 tuổi.	0
59	Người đủ 16 tuổi được điều khiển các loại xe nào dưới đây?		2	Xe mô tô 2 bánh có dung tích xi-lanh từ 50 cm3 trở lên.	Xe gắn máy có dung tích xi-lanh dưới 50 cm3.	Xe ô tô tải dưới 3,5 tấn; xe chở người đến 9 chỗ ngồi.	Tất cả các ý nêu trên.	0
60	Người có GPLX mô tô hạng A1 không được phép điều khiển loại xe nào dưới đây?		2	Xe mô tô có dung tích xi-lanh 125 cm3.	Xe mô tô có dung tích xi-lanh từ 175 cm3 trở lên.	Xe mô tô có dung tích xi-lanh 100 cm3.		0
61	Người có GPLX mô tô hạng A1 được phép điều khiển loại xe nào dưới đây?		3	Xe mô tô hai bánh có dung tích xi-lanh từ 50 cm3 đến dưới 175 cm3.	Xe mô tô ba bánh dùng cho người khuyết tật.	Cả ý 1 và ý 2.		0
62	Người có GPLX mô tô hạng A2 được phép điều khiển loại xe nào dưới đây?		2	Xe mô tô ba bánh.	Xe mô tô hai bánh có dung tích xi-lanh từ 175 cm3 trở lên và các loại xe quy định cho giấy phép lái xe hạng A1.	Các loại máy kéo nhỏ có trọng tải đến 1.000 kg.		0
63	Người có GPLX mô tô hạng A3 được phép điều khiển loại xe nào dưới đây?		1	Xe mô tô ba bánh.	Xe mô tô hai bánh có dung tích xi-lanh từ 175 cm3 trở lên.	Các loại máy kéo nhỏ có trọng tải đến 1.000 kg.		0
64	Người có giấy phép lái xe hạng B1 số tự động được điều khiển loại xe nào?		1	Ô tô số tự động chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng số tự động có trọng tải thiết kế dưới 3.500 kg; ô tô dùng cho người khuyết tật. Không được hành nghề lái xe.	Ô tô số tự động chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng số tự động có trọng tải thiết kế dưới 3.500 kg; ô tô dùng cho người khuyết tật. Được hành nghề lái xe kinh doanh vận tải.	Ô tô chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng có trọng tải thiết kế dưới 3.500 kg; ô tô dùng cho người khuyết tật.		0
65	Người có giấy phép lái xe hạng B1 được điều khiển loại xe nào?		2	Ô tô chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng có trọng tải thiết kế dưới 3.500 kg; máy kéo kéo một rơ moóc có trọng tải thiết kế dưới 3.500 kg. Được hành nghề lái xe.	Ô tô chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng có trọng tải thiết kế dưới 3.500 kg; máy kéo kéo một rơ moóc có trọng tải thiết kế dưới 3.500 kg. Không hành nghề lái xe.	Ô tô số tự động chở người đến 9 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; ô tô tải, kể cả ô tô tải chuyên dùng số tự động có trọng tải thiết kế trên 3.500 kg; ô tô dùng cho người khuyết tật.		0
66	Người có giấy phép lái xe hạng B2 được điều khiển loại xe nào dưới đây?		2	Xe ô tô chở người trên 9 chỗ ngồi; xe ô tô tải, máy kéo có trọng tải trên 3,5 tấn.	Xe ô tô chở người đến 9 chỗ ngồi; xe ô tô tải, máy kéo có trọng tải dưới 3,5 tấn.	Xe ô tô chở người từ 10 đến 30 chỗ ngồi; xe ô tô tải, máy kéo có trọng tải trên 3,5 tấn.		0
67	Người có giấy phép lái xe hạng C được điều khiển loại xe nào dưới đây?		3	Xe ô tô chở người trên 9 chỗ ngồi; xe ô tô tải, máy kéo có trọng tải trên 3,5 tấn.	Xe ô tô chở người từ 10 đến 30 chỗ ngồi; xe ô tô tải, máy kéo có trọng tải trên 3,5 tấn.	Xe ô tô chở người đến 9 chỗ ngồi; xe ô tô tải, máy kéo có trọng tải trên 3,5 tấn.		0
68	Người có giấy phép lái xe hạng D được điều khiển loại xe nào dưới đây?		1	Ô tô chở người đến 30 chỗ ngồi, kể cả chỗ ngồi cho người lái xe; xe ô tô tải, máy kéo có trọng tải trên 3,5 tấn.	Xe ô tô chở người trên 30 chỗ ngồi; xe ô tô tải, máy kéo có trọng tải trên 3,5 tấn.	Xe kéo rơ moóc, ô tô đầu kéo kéo sơ mi rơ moóc và được điều khiển các loại xe quy định cho giấy phép lái xe hạng B1, B2, C và FB2.		0
69	Người có giấy phép lái xe hạng E được điều khiển loại xe nào dưới đây?		2	Xe kéo rơ moóc, ô tô đầu kéo kéo sơ mi rơ moóc và được điều khiển các loại xe quy định cho giấy phép lái xe hạng B1, B2, C và FB2.	Ô tô chở người trên 30 chỗ ngồi; xe ô tô tải, máy kéo có trọng tải trên 3,5 tấn.	Xe kéo rơ moóc và được điều khiển các loại xe: ô tô chở khách nối toa và các loại xe quy định cho giấy phép lái xe hạng B1, B2, C, D, FB2, FD.		0
70	Người có giấy phép lái xe hạng FC được điều khiển các loại xe nào dưới đây?		2	Các loại xe được quy định tại giấy phép lái xe hạng C có kéo rơ moóc, ô tô đầu kéo kéo sơ mi rơ moóc, ô tô chở khách nối toa và được điều khiển các loại xe quy định cho giấy phép lái xe hạng B1, B2 và FB2.	Các loại xe được quy định tại giấy phép lái xe hạng C có kéo rơ moóc, ô tô đầu kéo kéo sơ mi rơ moóc và được điều khiển các loại xe quy định cho giấy phép lái xe hạng B1, B2, C và FB2.	Mô tô hai bánh, các loại xe được quy định tại giấy phép lái xe hạng C có kéo rơ moóc, ô tô đầu kéo kéo sơ mi rơ moóc và được điều khiển các loại xe quy định cho giấy phép lái xe hạng B1, B2, C và FB2.	Tất cả các loại xe nêu trên.	0
71	Người có giấy phép lái xe hạng FE được điểu khiển các loại xe nào dưới đây?		1	Các loại xe được quy định tại giấy phép lái xe hạng E có kéo rơ moóc và được điều khiển các loại xe: ô tô chở khách nối toa và các loại xe quy định cho giấy phép lái xe hạng B1, B2, C, D, FB2, FD.	Các loại xe được quy định tại giấy phép lái xe hạng E có kéo rơ moóc, đầu kéo kéo sơ mi rơ moóc và được điều khiển các loại xe: ô tô chở khách nối toa và các loại xe quy định cho giấy phép lái xe hạng B1, B2, C, D, FB2, FD.	Tất cả các loại xe nêu trên.		0
72	Biển báo hiệu có dạng hình tròn, viền đỏ, nền trắng, trên nền có hình vẽ hoặc chữ số, chữ viết màu đen là loại biển gì dưới đây?	https://i-vnexpress.vnecdn.net/2020/09/04/q72.png	2	Biển báo nguy hiểm	Biển báo cấm	Biển báo hiệu lệnh	Biển báo chỉ dẫn	0
73	Biển báo hiệu có dạng tam giác đều, viền đỏ, viền màu vàng, trên có hình vẽ màu đen là loại biển gì dưới đây?	https://i-vnexpress.vnecdn.net/2020/09/04/q73.png	2	Biển báo nguy hiểm	Biển báo cấm	Biển báo hiệu lệnh	Biển báo chỉ dẫn	0
74	Biển báo hiệu hình tròn có nền xanh lam có hình vẽ màu trắng là loại biển gì dưới đây?	https://i-vnexpress.vnecdn.net/2020/09/04/q74.png	3	Biển báo nguy hiểm	Biển báo cấm	Biển báo hiệu lệnh phải thi hành	Biển báo chỉ dẫn	0
75	Biển báo hiệu hình chữ nhật hoặc hình vuông hoặc hình mũi tên nền xanh lam là loại biển gì dưới đây?	https://i-vnexpress.vnecdn.net/2020/09/04/q75.png	4	Biển báo nguy hiểm	Biển báo cấm	Biển báo hiệu lệnh phải thi hành	Biển báo chỉ dẫn	0
76	Khi tập lái xe ô tô, người tập lái xe phải thực hiện các điều kiện gì dưới đây?		4	Phải thực hành lái xe trên xe tập lái và có giáo viên bảo trợ tay lái.	Phải mang theo phù hiệu “học viên tập lái xe”;	Phải mang theo giấy chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường còn hiệu lực, giấy phép vận chuyển (nếu loại xe đó cần phải có).	Cả ý 1 và ý 2.	0
77	Khi dạy thực hành lái xe, giáo viên phải mang theo các giấy tờ gì dưới đây?		1	Phải mang theo phù hiệu “Giáo viên dạy lái xe”, giấy chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường còn hiệu lực, giấy phép xe tập lái do cơ quan có thẩm quyền cấp còn hiệu lực.	Phải mang theo phù hiệu “học viên tập lái xe” và kế hoạch học tập của khóa học;	Phải mang theo giấy chứng nhận Giáo viên dạy thực hành lái xe, biên lai thu phí bảo trì đường bộ.		0
78	Xe ô tô tập lái phải đảm bảo các điều kiện gì dưới đây?		3	Gắn 02 biển “TẬP LÁI” trước và sau xe, có hệ thống phanh phụ được lắp đặt bảo đảm hiệu quả phanh, được bố trí bên ghế ngồi của giáo viên dạy thực hành lái xe.	Xe tập lái loại tải thùng có mui che mưa, che nắng, ghế ngồi cho học viên, có giấy chứng nhận kiểm định an toàn kỹ thuật và bảo vệ môi trường phương tiện giao thông cơ giới đường bộ còn hiệu lực.	Cả ý 1 và ý 2.		0
79	Việc sát hạch cấp giấy phép lái xe ô tô phải thực hiện ở đâu và như thế nào?		3	Tại các cơ sở đào tạo lái xe có đủ điều kiện và phải bảo đảm công khai minh bạch.	Tại sân tập lái của cơ sở đào tạo lái xe và phải đảm bảo công khai, minh bạch.	Tại các trung tâm sát hạch lái xe có đủ điều kiện hoạt động và phải bảo đảm công khai minh bạch.		0
